"File","Patterns","Backup","Timestamp"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/Pages/Debug/TestNetworkRequest.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/Pages/Debug/TestNetworkRequest.xaml.bak","2025-09-20T13:00:14.8109604+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/Pages/Debug/TestSticker.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/Pages/Debug/TestSticker.xaml.bak","2025-09-20T13:00:15.1463659+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/DownloadItemUC.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/DownloadItemUC.xaml.bak","2025-09-20T13:00:15.7797490+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/GiftListItemUC.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/GiftListItemUC.xaml.bak","2025-09-20T13:00:16.0069932+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/ItemSearchUC.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/ItemSearchUC.xaml.bak","2025-09-20T13:00:16.2602420+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/MenuUC.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/MenuUC.xaml.bak","2025-09-20T13:00:16.4090272+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/StickersPanel.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/obj/x64/Debug/UC/StickersPanel.xaml.bak","2025-09-20T13:00:16.8119523+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/AllPhotosPage.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/AllPhotosPage.xaml.cs.bak","2025-09-20T13:00:17.5337650+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/DialogsConversationPage2.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/DialogsConversationPage2.xaml.cs.bak","2025-09-20T13:00:17.8083077+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/GroupPage.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/GroupPage.xaml.cs.bak","2025-09-20T13:00:17.9052986+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/PhotoPickerPhotos.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/PhotoPickerPhotos.xaml.cs.bak","2025-09-20T13:00:18.0897208+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/ProfilePage.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/ProfilePage.xaml.cs.bak","2025-09-20T13:00:18.1864510+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/SettingsEditProfilePage.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/SettingsEditProfilePage.xaml.cs.bak","2025-09-20T13:00:18.2981064+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/VideoAlbumsListPage.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/VideoAlbumsListPage.xaml.cs.bak","2025-09-20T13:00:18.4710440+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestCall.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestCall.xaml.cs.bak","2025-09-20T13:00:18.7987748+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestControls.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestControls.xaml.bak","2025-09-20T13:00:18.9148490+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestControls.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestControls.xaml.cs.bak","2025-09-20T13:00:18.9936393+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestControls_Part2.xaml.cs","(?i)https?://m\.vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestControls_Part2.xaml.cs.bak","2025-09-20T13:00:19.0918114+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestEmoji.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestEmoji.xaml.bak","2025-09-20T13:00:19.1909695+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestEmoji.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestEmoji.xaml.cs.bak","2025-09-20T13:00:19.4350813+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestFillRowControl.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestFillRowControl.xaml.cs.bak","2025-09-20T13:00:19.4963580+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestLikesControl.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestLikesControl.xaml.cs.bak","2025-09-20T13:00:19.5425709+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestNetworkRequest.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestNetworkRequest.xaml.bak","2025-09-20T13:00:19.7252863+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestNotificationsPanel.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestNotificationsPanel.xaml.cs.bak","2025-09-20T13:00:19.8376748+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestPush.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestPush.xaml.cs.bak","2025-09-20T13:00:19.9444773+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestRawNotification.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestRawNotification.xaml.cs.bak","2025-09-20T13:00:20.1122710+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestResponse.xaml.cs","(?i)https?://api\.vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestResponse.xaml.cs.bak","2025-09-20T13:00:20.2229385+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestSticker.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Debug/TestSticker.xaml.bak","2025-09-20T13:00:20.3103629+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Group/GroupPage.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/Pages/Group/GroupPage.xaml.cs.bak","2025-09-20T13:00:20.5144968+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/AttachmentsPresenter.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/AttachmentsPresenter.cs.bak","2025-09-20T13:00:20.8258097+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/CommunityCreationUC.xaml.cs","(?i)https?://m\.vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/CommunityCreationUC.xaml.cs.bak","2025-09-20T13:00:21.0467601+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/DebugUC.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/DebugUC.xaml.cs.bak","2025-09-20T13:00:21.3170566+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/DownloadItemUC.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/DownloadItemUC.xaml.bak","2025-09-20T13:00:21.4072321+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/DownloadItemUC.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/DownloadItemUC.xaml.cs.bak","2025-09-20T13:00:21.4400740+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/EmojiControlUC.xaml.cs","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/EmojiControlUC.xaml.cs.bak","2025-09-20T13:00:21.5067167+03:00"
"C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/GiftListItemUC.xaml","(?i)vk\.com","C:/Users/Admin/source/repos/!VK/LunaVK-dev/Src/LunaVK/UC/GiftListItemUC.xaml.bak","2025-09-20T13:00:21.6777169+03:00"
